Score,Problem,Answer
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,250
1,1,980
1,1,167
1,2,284
-1,541,2
-1,1,542
-1,100,1
-1,2,101
1,2,223
1,1,171
1,1,41
1,2,295
-1,372,1
1,1,200
1,3,0
1,-0.20833333,3
1,3,0.26
-1,3,0.3
1,0.66,3
1,1,387
1,2,71
1,1,200
1,2,384
1,3,240
-1,3,-0.3
1,1,680
1,3,59
1,3,-0.21
